Last Name,First Name,Middle Name,Order of Presidency,Date of Birth,Date of Death,Town or County of Birth,State of Birth,Home State,Party Affiliation,Date Took Office,Date Left Office,Assassination Attempt,Assassinated,Religious Affiliation
Taylor,Zachary,,12,11/24/1784,7/9/1850,Montebello,Virginia,Louisiana,Whig,3/4/1849,7/9/1850,FALSE,FALSE,Episcopalian
Fillmore,Millard,,13,1/7/1800,3/8/1874,Cayuga County,New York,New York,Whig,7/9/1850,3/4/1853,FALSE,FALSE,Unitarian
Pierce,Franklin,,14,11/3/1804,10/8/1869,Hillsboro,New Hampshire,New Hampshire,Democratic,3/4/1853,3/4/1857,FALSE,FALSE,
Buchanan,James,,15,4/23/1791,6/1/1868,Franklin County,Pennsylvania,Pennsylvania,Democratic,3/4/1857,3/4/1861,FALSE,FALSE,Presbyterian
Lincoln,Abraham,,16,2/12/1809,4/15/1865,LaRue County,Kentucky,Illinois,Republican/National Union,3/4/1861,4/15/1865,TRUE,TRUE,
Johnson,Andrew,,17,12/29/1808,7/31/1875,Raleigh,North Carolina,Tennessee,Democratic/National Union,4/15/1865,3/4/1869,FALSE,FALSE,
Grant,Ulysses,S,18,4/27/1822,7/23/1885,Point Pleasant,Ohio,Ohio,Republican,3/4/1869,3/4/1877,FALSE,FALSE,Presbyterian/Methodist
Hayes,Rutherford,Birchard,19,10/4/1822,1/17/1893,Fremont,Ohio,Ohio,Republican,3/4/1877,3/4/1881,FALSE,FALSE,
Garfield,James,Abram,20,11/19/1831,9/19/1881,Cuyahoga County,Ohio,Ohio,Republican,3/4/1881,9/19/1881,TRUE,TRUE,Disciples of Christ
Arthur,Chester,Alan,21,10/5/1830,11/18/1886,Fairfield,Vermont,New York,Republican,9/19/1881,3/4/1885,FALSE,FALSE,Episcopalian
Cleveland,Grover,,22,3/18/1837,6/24/1908,Caldwell,New Jersey,New York,Democratic,3/4/1885,3/4/1889,FALSE,FALSE,Presbyterian
Harrison,Benjamin,,23,8/20/1833,3/13/1901,North Bend,Ohio,Indiana,Republican,3/4/1889,3/4/1893,FALSE,FALSE,Presbyterian
Cleveland,Grover,,24,3/18/1837,6/24/1908,Caldwell,New Jersey,New York,Democratic,3/4/1893,3/4/1897,FALSE,FALSE,Presbyterian
McKinley,William,,25,1/29/1843,9/14/1901,Niles,Ohio,Ohio,Republican,3/4/1897,9/14/1901,TRUE,TRUE,Methodist
Roosevelt,Theodore,,26,10/27/1858,1/6/1919,New York,New York,New York,Republican,9/14/1901,3/4/1909,TRUE,FALSE,Dutch Reformed
Taft,William,Howard,27,9/15/1857,3/8/1930,Cincinnati,Ohio,Ohio,Republican,3/4/1909,3/4/1913,FALSE,FALSE,Unitarian
Wilson,Woodrow,,28,12/28/1856,2/3/1924,Staunton,Virginia,New Jersey,Democratic,3/4/1913,3/4/1921,FALSE,FALSE,Presbyterian
Harding,Warren,Gamaliel,29,11/2/1865,8/2/1923,Morrow County,Ohio,Ohio,Republican,3/4/1921,8/2/1923,FALSE,FALSE,Baptist
Coolidge,Calvin,,30,7/4/1872,1/5/1933,Plymouth,Vermont,Massachusetts,Republican,8/2/1923,3/4/1929,FALSE,FALSE,Congregationalist
Hoover,Herbert,Clark,31,8/10/1874,10/20/1964,West Branch,Iowa,Iowa,Republican,3/4/1929,3/4/1933,FALSE,FALSE,Quaker
Roosevelt,Franklin,Delano,32,1/30/1882,4/12/1945,Hyde Park,New York,New York,Democratic,3/4/1933,4/12/1945,TRUE,FALSE,Episcopalian
Truman,Harry,S,33,5/8/1884,12/26/1972,Barton County,Missouri,Missouri,Democratic,4/12/1945,1/20/1953,TRUE,FALSE,Baptist
Eisenhower,Dwight,David,34,10/14/1890,3/28/1969,Denison,Texas,Texas,Republican,1/20/1953,1/20/1961,FALSE,FALSE,Presbyterian
Kennedy,John,Fitzgerald,35,5/29/1917,11/22/1963,Brookline,Massachusetts,Massachusetts,Democratic,1/20/1961,11/22/1963,TRUE,TRUE,Roman Catholic
Johnson,Lyndon,Baines,36,8/27/1908,1/22/1973,Gillespie County,Texas,Texas,Democratic,11/22/1963,1/20/1969,FALSE,FALSE,Disciples of Christ
Nixon,Richard,Milhous,37,1/9/1913,4/22/1994,Yorba Linda,California,California,Republican,1/20/1969,8/9/1974,FALSE,FALSE,Quaker
Ford,Gerald,Rudolph,38,7/14/1913,12/26/2006,Omaha,Nebraska,Michigan,Republican,8/9/1974,1/20/1977,TRUE,FALSE,Episcopalian
Carter,Jimmy,,39,10/1/1924,,Plains,Georgia,Georgia,Democratic,1/20/1977,1/20/1981,FALSE,FALSE,Baptist
Reagan,Ronald,Wilson,40,2/6/1911,6/5/2004,Tampico,Illinois,California,Republican,1/20/1981,1/20/1989,TRUE,FALSE,Presbyterian
Bush,George,Herbert Walker,41,6/12/1924,,Milton,Massachusetts,Texas,Republican,1/20/1989,1/20/1993,FALSE,FALSE,Episcopalian
Clinton,William,Jefferson,42,8/19/1946,,Hope,Arkansas,Arkansas,Democratic,1/20/1993,1/20/2001,FALSE,FALSE,Baptist
Bush,George,Walker,43,7/6/1946,,New Haven,Connecticut,Texas,Republican,1/20/2001,1/20/2009,FALSE,FALSE,Methodist
Obama,Barack,Hussein,44,8/4/1961,,Honolulu,Hawaii,Illinois,Democratic,1/20/2009,,,,Unaffiliated Christian
